corruption,severity,param,n_samples,age_mae,age_rmse,interval_coverage,mean_interval_width,interval_coverage_calibrated,mean_interval_width_calibrated,gender_accuracy,abstention_rate,mean_confidence
low_contrast,2,0.5,300,6.672684893608094,9.13229662184979,0.8166666666666667,21.44485092163086,0.9133333333333333,28.451112747192383,0.9469387755102041,0.18333333333333332,0.9135597944259644
low_contrast,3,0.3,300,9.694830443064372,13.3432801555119,0.7866666666666666,29.879114151000977,0.8633333333333333,36.8853759765625,0.8792270531400966,0.31,0.8576440215110779
high_contrast,1,1.4,300,5.8852960365017255,8.356664527010084,0.7466666666666667,15.74010944366455,0.8733333333333333,22.746370315551758,0.950381679389313,0.12666666666666668,0.9429585933685303
high_contrast,2,1.8,300,6.234938414196173,8.819773312228708,0.7433333333333333,15.941139221191406,0.86,22.94740104675293,0.9429657794676806,0.12333333333333334,0.940170407295227
high_contrast,3,2.4,300,6.713366399655739,9.603893149360983,0.7366666666666667,16.650407791137695,0.85,23.65666961669922,0.9375,0.14666666666666667,0.9338557720184326
grayscale,1,0.4,300,5.719921084443728,8.058322161942243,0.7666666666666667,16.78717803955078,0.8933333333333333,23.793439865112305,0.9613899613899614,0.13666666666666666,0.9344649314880371
grayscale,2,0.7,300,6.019387404918671,8.412846700494068,0.77,17.82626724243164,0.8966666666666666,24.832530975341797,0.9561752988047809,0.16333333333333333,0.9238579273223877
grayscale,3,1.0,300,6.433565428455671,8.83710892037413,0.7933333333333333,19.338308334350586,0.9033333333333333,26.344572067260742,0.9314516129032258,0.17333333333333334,0.9145326614379883
partial_occlusion,1,0.1,300,7.964354957938195,11.255454877005693,0.6666666666666666,16.862834930419922,0.7866666666666666,23.869096755981445,0.8923076923076924,0.13333333333333333,0.9330434203147888
partial_occlusion,2,0.2,300,10.523433429400127,14.291504914560909,0.5133333333333333,16.665983200073242,0.6633333333333333,23.6722469329834,0.8052434456928839,0.11,0.9359285235404968
partial_occlusion,3,0.35,300,12.674718283017476,16.930611344557942,0.44666666666666666,15.954705238342285,0.5733333333333334,22.960969924926758,0.6870229007633588,0.12666666666666668,0.9339533448219299
partial_crop,1,0.1,300,6.61955684185028,9.183446447884485,0.74,18.305097579956055,0.8966666666666666,25.311357498168945,0.9565217391304348,0.15666666666666668,0.9269348382949829
partial_crop,2,0.2,300,9.280079154173533,12.763303295953222,0.6833333333333333,22.069629669189453,0.8,29.075891494750977,0.8770491803278688,0.18666666666666668,0.8939976096153259
partial_crop,3,0.35,300,10.014931908845902,13.760815585431477,0.6766666666666666,22.840307235717773,0.79,29.846569061279297,0.7913043478260869,0.23333333333333334,0.8802391290664673
